Test Case ID,Description,Pre-conditions,Steps Taken,Expected Output,,Actual Output,Comments,Tester,Date Tested,Version
t2.6 Existing Customer Avails a Loan Product,,,,,,,,,,
t2.6.1,Avail Loans Product – Customer Information Step,,Automated (Robot Framework): tests/2_customers/,"Verify that clicking Avail Product on a Loans product navigates to the Customer Information step. Customer Details, Product Details, Loan Details (editable), and any required custom fields are displayed. Continue button is disabled until all required fields are filled.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t2.6.2,Verify Loan Details Fields Are Editable During Availment (Customer Information Step),,Automated (Robot Framework): tests/2_customers/,Verify that all Loan Details fields are enabled and editable on the Customer Information step. Entered values are retained and accepted. Continue becomes enabled once all required fields (Loan Details + custom fields) are filled.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t2.6.3,See Details of Loans Product During Availment (Customer Information Step),,Automated (Robot Framework): tests/2_customers/,"Verify that clicking See Details on the Product Details section opens a side panel with complete Loans product configuration, closes cleanly, and leaves the user on the Customer Information step with Loan Details fields unaffected.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t2.6.4,Fill Loan Details and Custom Fields for Loans Product and Continue,,Automated (Robot Framework): tests/2_customers/,"Verify that filling all required Loan Details and custom fields enables the Continue button, entered values are retained, and the user proceeds to the Review Application step with an accurate summary.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t2.6.5,Review and Confirm Loans Product Availment,,Automated (Robot Framework): tests/2_customers/,"Verify that the Review Application step shows accurate data, Confirm and Avail processes the request, and the Success page is displayed with the correct product name and a Back to Customer Profile button.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t2.6.6,Verify Newly Availed Loan Appears in Pending Applications Module,,Automated (Robot Framework): tests/2_customers/,"Verify that after a successful Loans availment, clicking Back to Customer Profile returns the user to the profile, and the newly availed loan appears in the Pending Applications module with status Pending.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t2.6.9,Modify Loan Details and Custom Field Inputs on Review Step and Re-Confirm,,Automated (Robot Framework): tests/2_customers/,"Verify that clicking Back from the Review step returns to Customer Information with form still filled, modified Loan Details and custom field values are reflected in the review summary, and the product is successfully availed with the updated data.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t2.6.10,Loan Amount Below Minimum Is Rejected,,Automated (Robot Framework): tests/2_customers/,Verify that entering a Loan Amount below the configured minimum surfaces an inline validation error and keeps the Continue button disabled.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
t2.6.11,Loan Amount Above Maximum Is Rejected,,Automated (Robot Framework): tests/2_customers/,Verify that entering a Loan Amount above the configured maximum surfaces an inline validation error and keeps the Continue button disabled.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,PASS,QA-Jo,9/11/26,
