Test Case ID,Description,Pre-conditions,Steps Taken,Expected Output,,Actual Output,Comments,Tester,Date Tested,Version
t1.1. Reset Password (First-Time Login),,,,,,,,,,
t1.1.1,"Reset Password via clicking ""Reset Password Now"" link ","1. A teller account (Maker/Checker) has been created via User Management using a Super Admin account, and a temporary password was sent to the registered email.
2. The user has received the temporary password email and clicked the ""RESET PASSWORD NOW"" link.
3. The user is redirected to the reset password screen.","1. Enter the temporary password via email
2. Click on LOG IN button
3. Enter the temporary password again
4. Enter the new password
5. Re-enter the new password
6. Click on RESET PASSWORD button
7 . Enter OTP received via email
8. Click on CONTINUE","1. A modal is displayed with the message:
""Success! Password has been changed successfully."" ",,"A modal is displayed with the message: ""Success! Password has been changed successfully."" (executed via the emailed ""RESET PASSWORD NOW"" link; screen recording captured)",manual,QA-Jo,9/17/26,
t1.1.2,Reset Password via Logging in Using Temporary Password,"1. A new Teller App user has been created via HubOps and a temporary password was sent to the registered email.
2. The user has received the temporary password email.
3. The user is on the login page at:
","1. Enter email
2. Enter the temporary password sent via email
3. Click on LOG IN button
4. Enter the temporary password again
5. Enter the new password
6. Re-enter the new password
7. Click on RESET PASSWORD button
8 . Enter OTP received via email
9. Click on CONTINUE","1. A modal is displayed with the message:
""Success! Password has been changed successfully."" ",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/11/26,
t1.1.3,Verify system treats email addresses as case-insensitive during Reset Password,"1. New user created via HubOps; temporary password received.

2. User is on the login page.","1. Enter email in mixed-case/uppercase/lowercase format.
2. Enter the temporary password and click LOG IN.
3. Enter the temporary password again in the reset form.
4. Enter and confirm a new password.
5. Click RESET PASSWORD.
6. Enter OTP and click CONTINUE.","1. System accepts the mixed-case email and temporary password.

2. A modal displays: ""Success! Password has been changed successfully.""",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/12/26,
t1.1.4,Login Using Expired Temporary Password,1. User is on the login page with an expired or incorrect temporary password.,"1. Enter email.
. Enter invalid or expired temporary password.
3. Click the LOG IN button.","1. Error message appears: 

""Your temporary password has expired. Please use the Forgot Password option to create a new password.""",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/11/26,
t1.1.5,Verify that a user with an expired temporary password can finalize account setup via Forgot Password,"1. A new user account was created via HubOps.
2. The temporary password sent via email has expired.
3. The user is on the login page.","1. Click on ""Forgot password?"".
2. Enter the registered email address.
3. Click on SEND VERIFICATION CODE.
4. Enter the OTP received via email.
5. Click on CONTINUE.
6. Enter a new password that meets complexity requirements.
7. Re-enter the new password to confirm.
8. Click on RESET PASSWORD.","1. The system recognizes the email despite the expired temporary password state.
2. An OTP is successfully sent to the user's email.
3. The system accepts the new password.
4. A modal is displayed with the message: ""Success! Password has been changed successfully.""
5. The user can now log in using the newly created password.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/11/26,
t1.1.6,Reset Password – Mismatched New Password and Confirm Password,1. User is on the Reset Password screen after entering the temporary password.,"1. Enter a new password.
2. Enter a different value in the Confirm Password field.
3. Click on RESET PASSWORD button","1. Error message is shown:
“Passwords do not match.”
2. The RESET PASSWORD button should still be disabled.",,lacking period (.),https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,Peach,9/11/26,
t1.1.7,Reset Password – Leave Required Fields Blank,1. User is on the Reset Password screen.,"1. Leave one or more required fields (e.g., new password or confirm password) blank.
2. Click the RESET PASSWORD button.",1. The RESET PASSWORD button should still be disabled.,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/11/26,
t1.1.8,Reset Password – Password Too Short,User is on the Reset Password screen (after OTP verification).,"1. Enter a password with fewer than 8 characters (e.g., Abc1!).
2. Observe the validation message.","1. Error message is shown::
""Password must contain a minimum of 8 characters.""
2. The RESET PASSWORD button should still be disabled.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/11/26,
t1.1.9,Reset Password – Password Without Uppercase Letter,User is on the Reset Password screen.,"1. Enter a password without any uppercase letters (e.g., abc123!@#).","1. Error message is shown:
""Password must include at least one uppercase letter.""
2. The RESET PASSWORD button should still be disabled.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/11/26,
t1.1.10,Reset Password – Password Without Number,User is on the Reset Password screen.,"1. Enter a password without any numbers (e.g., Abcdef!@#).","1. Error message is shown:
""Password must include at least one number.""
2. The RESET PASSWORD button should still be disabled.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/11/26,
t1.1.11,Reset Password – Password Without Special Character,User is on the Reset Password screen.,"1. Enter a password without any special characters (e.g., Abcdef123).","1. Error message is shown:
""Password must include at least one special character.""
2. The RESET PASSWORD button should still be disabled.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/11/26,
t1.1.12,Reset Password – Sequential Validation of Multiple Violations,User is on the Reset Password screen.,"1. Enter a password like abc123 (less than 8 characters, no uppercase, no special character).
2. Observe the validation message displayed.
3. Fix the first validation error (e.g., make it 8 characters), then observe the next validation message.
4. Repeat until all rules are fulfilled.","1. Only one validation message is displayed at a time, depending on the first unmet condition:

• If too short → ""Password must contain a minimum of 8 characters.""
• Once length is valid, next error shown → e.g., ""Password must include at least one uppercase letter.""
• And so on, until all rules are met and no error message is shown.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/11/26,
t1.1.13,Reset Password – Invalid OTP,1. User has completed the new password fields and is prompted to enter the OTP.,"1. Enter an incorrect or expired OTP.
2. Click the CONTINUE button.","1. Error message is displayed:
“OTP is either Invalid or has expired, Please try again.”

2. User remains on OTP entry screen.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/12/26,
t1.1.14,Reset Password – Leave OTP Blank,"1. User has received OTP input prompt.
2. User is on the OTP Verification Screen.","1. Leave the OTP field blank.
2. Click CONTINUE.","1. The CONTINUE button should still be disabled.
2. User remains on OTP entry screen.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/12/26,
t1.1.15,Reset Password – User cannot request a new OTP before the 1-minute cooldown period has passed,"1. The Teller App is launched.
2. The user is on the OTP verification screen for reset password.
3. The 1-minute cooldown has not yet elapsed.","1. Find and click the ""Request a new OTP"" link.","1. The ""Request a new OTP"" is not yet displayed
2. No new OTP should be generated or sent.
3. The countdown timer should continue until the full 1-minute duration completes.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/12/26,
t1.1.16,Reset Password – User can request a new OTP after the cooldown,"1. The Teller App is launched.
2. The user is on the OTP verification screen for reset password.
3. The previous OTP has expired or the 1-minute cooldown has completed.","1. Click the ""Request a new OTP"" link.
2. Check the registered email for a new OTP.
3. Enter the newly received OTP.
4. Click on CONTINUE button.","1. The user receives the new OTP via email.
2. A modal is displayed with the message:
""Success! Password has been changed successfully.""",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,rerun since first run failed due to rate limiting,Peach,9/12/26,
t1.1.17,Reset Password – Previously received OTP is no longer valid after requesting a new OTP,"1. The Teller App is launched.
2. The user is on the OTP verification screen for reset password.
","1. Click the ""Request a new OTP"" link.
2. Attempt to enter the previously received OTP.
3. Observe system behavior.
4. Repeat with further OTP resend attempts.","1. System displays:
""OTP is either invalid or has expired, Please try again or request a new OTP.""

2. All previously sent OTPs are invalidated once a new OTP is generated.",,,,Peach,9/11/26,
t1.1.18,Reset Password – Validation on the 5th failed OTP attempt (maximum allowed attempts),"1. The Teller App is launched.
2. The user is on the OTP verification screen for reset password.
3. System allows a max of 5 OTP input attempts per session.","1. Enter invalid OTP 4 times.
2. On the 5th attempt, enter another invalid OTP.
3. Observe system response.
4. Click ""CONFIRM"".","1. After the 5th failed attempt, system shows:
“Verification Failed: You have reached the maximum number of attempts. For your security, we’re redirecting you to the previous page.”

2. User is redirected back to the Reset Password page.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,rerun since first run failed due to rate limiting,Peach,9/12/26,
t1.1.19,Reset Password – Validation on 5th OTP attempt across multiple resend requests,"1. The Teller App is launched.
2. The user is on the OTP verification screen for reset password.
3. System allows a max of 5 OTP input attempts per session.","1. Enter 2 invalid OTPs.
2. Click the ""Request a new OTP"" link.
3. Enter 2 more invalid OTPs.
4. Click the ""Request a new OTP"" link again.
5. Enter a 5th invalid OTP.
6. Observe system response.
7. Click ""CONFIRM"".","1. After the 5th failed attempt, system shows:
“Verification Failed
You have reached the maximum number of attempts. For your security, we're redirecting you to the previous page.""

2. User is redirected back to the Reset Password page.",,,,Peach,9/11/26,
t1.1.20,Reset Password – Behavior when OTP session expires before reaching max attempts,"1. The Teller App is launched.
2. The user is on the OTP verification screen for reset password.
3. The OTP session timeout is set (e.g., 5 minutes).","1. Enter invalid OTP 3 times within the active session.
2. Wait for OTP session to expire (e.g., after 5 minutes).
3. Attempt to enter another OTP (4th attempt) regardless of validity.
4. Click the ""Request a new OTP"" link.
5. Click ""CONFIRM"".","1. On 4th input after session expiry, system shows:
“OTP is either invalid or has expired. Please try again or request a new OTP.”

2. After clikcing ""Request a new OTP"" , system shows:
“Your one-time password has expired. Request a new code to continue.

3. Clicking ""Request New Code"" redirects user to the login screen and resets the OTP session.",,,manually tested since it takes 5 mins and needs the real OTP,Peach,9/11/26,
